Data,Time,Date
"Channel2:27",18:14:35.081,26/2/2022
"Channel1:1023",18:14:35.081,26/2/2022
"Channel2:28",18:14:35.081,26/2/2022
"Channel1:1023",18:14:35.081,26/2/2022
"Channel2:29",18:14:35.081,26/2/2022
"Channel1:1023",18:14:35.081,26/2/2022
"Channel2:29",18:14:35.081,26/2/2022
"Channel1:1023",18:14:35.081,26/2/2022
"Channel2:27",18:14:35.081,26/2/2022
"Channel1:773",18:14:35.081,26/2/2022
"Channel2:26",18:14:35.081,26/2/2022
"Channel1:25",18:14:35.081,26/2/2022
"Channel2:27",18:14:35.081,26/2/2022
"Channel1:25",18:14:35.081,26/2/2022
"Channel2:28",18:14:35.081,26/2/2022
"Channel1:24",18:14:35.081,26/2/2022
"Channel2:29",18:14:35.081,26/2/2022
"Channel1:25",18:14:35.081,26/2/2022
"Channel2:27",18:14:35.081,26/2/2022
"Channel1:24",18:14:35.081,26/2/2022
"Channel2:27",18:14:35.081,26/2/2022
"Channel1:1023",18:14:35.081,26/2/2022
"Channel2:29",18:14:35.081,26/2/2022
"Channel1:1023",18:14:35.099,26/2/2022
"Channel2:29",18:14:35.099,26/2/2022
"Channel1:1023",18:14:35.099,26/2/2022
"Channel2:30",18:14:35.099,26/2/2022
"Channel1:1023",18:14:35.099,26/2/2022
"Channel2:20",18:14:35.099,26/2/2022
"Channel1:1023",18:14:35.099,26/2/2022
"Channel2:27",18:14:35.099,26/2/2022
"Channel1:26",18:14:35.099,26/2/2022
"Channel2:29",18:14:35.099,26/2/2022
"Channel1:24",18:14:35.099,26/2/2022
"Channel2:26",18:14:35.099,26/2/2022
"Channel1:23",18:14:35.099,26/2/2022
"Channel2:25",18:14:35.099,26/2/2022
"Channel1:24",18:14:35.099,26/2/2022
"Channel2:28",18:14:35.099,26/2/2022
"Channel1:27",18:14:35.099,26/2/2022
"Channel2:27",18:14:35.099,26/2/2022
"Channel1:1023",18:14:35.099,26/2/2022
"Channel2:28",18:14:35.099,26/2/2022
"Channel1:1023",18:14:35.099,26/2/2022
"Channel2:29",18:14:35.099,26/2/2022
"Channel1:1023",18:14:35.099,26/2/2022
"Channel2:27",18:14:35.099,26/2/2022
"Channel1:1023",18:14:35.099,26/2/2022
"Channel2:28",18:14:35.099,26/2/2022
"Channel1:1023",18:14:35.099,26/2/2022
"Channel2:28",18:14:35.099,26/2/2022
"Channel1:24",18:14:35.099,26/2/2022
"Channel2:27",18:14:35.099,26/2/2022
"Channel1:26",18:14:35.099,26/2/2022
"Channel2:27",18:14:35.099,26/2/2022
"Channel1:26",18:14:35.099,26/2/2022
"Channel2:25",18:14:35.099,26/2/2022
"Channel1:24",18:14:35.099,26/2/2022
"Channel2:27",18:14:35.099,26/2/2022
"Channel1:24",18:14:35.099,26/2/2022
"Channel2:26",18:14:35.099,26/2/2022
"Channel1:1023",18:14:35.099,26/2/2022
"Channel2:26",18:14:35.099,26/2/2022
"Channel1:1023",18:14:35.099,26/2/2022
"Channel2:27",18:14:35.099,26/2/2022
"Channel1:1023",18:14:35.099,26/2/2022
"Channel2:27",18:14:35.099,26/2/2022
"Channel1:1023",18:14:35.099,26/2/2022
"Channel2:31",18:14:35.099,26/2/2022
"Channel1:1023",18:14:35.099,26/2/2022
"Channel2:29",18:14:35.099,26/2/2022
"Channel1:26",18:14:35.099,26/2/2022
"Channel2:26",18:14:35.099,26/2/2022
"Channel1:24",18:14:35.099,26/2/2022
"Channel2:26",18:14:35.099,26/2/2022
"Channel1:24",18:14:35.099,26/2/2022
"Channel2:25",18:14:35.099,26/2/2022
"Channel1:25",18:14:35.099,26/2/2022
"Channel2:25",18:14:35.099,26/2/2022
"Channel1:24",18:14:35.099,26/2/2022
"Channel2:27",18:14:35.099,26/2/2022
"Channel1:1023",18:14:35.099,26/2/2022
"Channel2:28",18:14:35.099,26/2/2022
"Channel1:1023",18:14:35.099,26/2/2022
"Channel2:27",18:14:35.099,26/2/2022
"Channel1:1023",18:14:35.099,26/2/2022
"Channel2:29",18:14:35.099,26/2/2022
"Channel1:1023",18:14:35.099,26/2/2022
"Channel2:28",18:14:35.099,26/2/2022
"Channel1:1023",18:14:35.099,26/2/2022
"Channel2:30",18:14:35.099,26/2/2022
"Channel1:24",18:14:35.099,26/2/2022
"Channel2:28",18:14:35.099,26/2/2022
"Channel1:25",18:14:35.099,26/2/2022
"Channel2:28",18:14:35.099,26/2/2022
"Channel1:25",18:14:35.099,26/2/2022
"Channel2:27",18:14:35.099,26/2/2022
"Channel1:24",18:14:35.099,26/2/2022
"Channel2:26",18:14:35.099,26/2/2022
"Channel1:25",18:14:35.099,26/2/2022
"Channel2:28",18:14:35.099,26/2/2022
"Channel1:1023",18:14:35.099,26/2/2022
"Channel2:28",18:14:35.099,26/2/2022
"Channel1:1023",18:14:35.116,26/2/2022
"Channel2:27",18:14:35.116,26/2/2022
"Channel1:1023",18:14:35.116,26/2/2022
"Channel2:29",18:14:35.116,26/2/2022
"Channel1:1023",18:14:35.116,26/2/2022
"Channel2:26",18:14:35.116,26/2/2022
"Channel1:1023",18:14:35.116,26/2/2022
"Channel2:26",18:14:35.116,26/2/2022
"Channel1:25",18:14:35.116,26/2/2022
"Channel2:26",18:14:35.116,26/2/2022
"Channel1:23",18:14:35.116,26/2/2022
"Channel2:28",18:14:35.116,26/2/2022
"Channel1:24",18:14:35.116,26/2/2022
"Channel2:25",18:14:35.116,26/2/2022
"Channel1:25",18:14:35.116,26/2/2022
"Channel2:26",18:14:35.116,26/2/2022
"Channel1:23",18:14:35.116,26/2/2022
"Channel2:27",18:14:35.116,26/2/2022
"Channel1:522",18:14:35.116,26/2/2022
"Channel2:28",18:14:35.116,26/2/2022
"Channel1:1023",18:14:35.116,26/2/2022
"Channel2:31",18:14:35.116,26/2/2022
"Channel1:1023",18:14:35.116,26/2/2022
"Channel2:26",18:14:35.116,26/2/2022
"Channel1:1023",18:14:35.116,26/2/2022
"Channel2:27",18:14:35.116,26/2/2022
"Channel1:1023",18:14:35.116,26/2/2022
"Channel2:27",18:14:35.116,26/2/2022
"Channel1:1023",18:14:35.116,26/2/2022
"Channel2:29",18:14:35.116,26/2/2022
"Channel1:26",18:14:35.116,26/2/2022
"Channel2:28",18:14:35.116,26/2/2022
"Channel1:24",18:14:35.116,26/2/2022
"Channel2:26",18:14:35.116,26/2/2022
"Channel1:27",18:14:35.116,26/2/2022
"Channel2:29",18:14:35.116,26/2/2022
"Channel1:24",18:14:35.116,26/2/2022
"Channel2:30",18:14:35.116,26/2/2022
"Channel1:26",18:14:35.116,26/2/2022
"Channel2:27",18:14:35.116,26/2/2022
"Channel1:1023",18:14:35.116,26/2/2022
"Channel2:26",18:14:35.116,26/2/2022
"Channel1:1023",18:14:35.116,26/2/2022
"Channel2:27",18:14:35.116,26/2/2022
"Channel1:1023",18:14:35.116,26/2/2022
"Channel2:27",18:14:35.116,26/2/2022
"Channel1:1023",18:14:35.116,26/2/2022
"Channel2:28",18:14:35.116,26/2/2022
"Channel1:1023",18:14:35.116,26/2/2022
"Channel2:27",18:14:35.116,26/2/2022
"Channel1:25",18:14:35.116,26/2/2022
"Channel2:26",18:14:35.116,26/2/2022
"Channel1:27",18:14:35.116,26/2/2022
"Channel2:27",18:14:35.116,26/2/2022
"Channel1:26",18:14:35.116,26/2/2022
"Channel2:27",18:14:35.116,26/2/2022
"Channel1:25",18:14:35.116,26/2/2022
"Channel2:27",18:14:35.116,26/2/2022
"Channel1:24",18:14:35.116,26/2/2022
"Channel2:1016",18:14:35.116,26/2/2022
"Channel1:1023",18:14:35.116,26/2/2022
"Channel2:1018",18:14:35.116,26/2/2022
"Channel1:1023",18:14:35.116,26/2/2022
"Channel2:28",18:14:35.116,26/2/2022
"Channel1:1023",18:14:35.116,26/2/2022
"Channel2:26",18:14:35.116,26/2/2022
"Channel1:1023",18:14:35.116,26/2/2022
"Channel2:27",18:14:35.116,26/2/2022
"Channel1:1023",18:14:35.116,26/2/2022
"Channel2:27",18:14:35.116,26/2/2022
"Channel1:23",18:14:35.116,26/2/2022
"Channel2:27",18:14:35.116,26/2/2022
"Channel1:24",18:14:35.116,26/2/2022
"Channel2:28",18:14:35.116,26/2/2022
"Channel1:25",18:14:35.116,26/2/2022
"Channel2:27",18:14:35.116,26/2/2022
"Channel1:26",18:14:35.132,26/2/2022
"Channel2:26",18:14:35.132,26/2/2022
"Channel1:26",18:14:35.132,26/2/2022
"Channel2:28",18:14:35.132,26/2/2022
"Channel1:1023",18:14:35.132,26/2/2022
"Channel2:26",18:14:35.132,26/2/2022
"Channel1:1023",18:14:35.132,26/2/2022
"Channel2:28",18:14:35.132,26/2/2022
"Channel1:1023",18:14:35.132,26/2/2022
"Channel2:25",18:14:35.132,26/2/2022
"Channel1:1023",18:14:35.132,26/2/2022
"Channel2:27",18:14:35.132,26/2/2022
"Channel1:1023",18:14:35.132,26/2/2022
"Channel2:26",18:14:35.132,26/2/2022
"Channel1:25",18:14:35.132,26/2/2022
"Channel2:31",18:14:35.132,26/2/2022
"Channel1:25",18:14:35.132,26/2/2022
"Channel2:27",18:14:35.132,26/2/2022
"Channel1:25",18:14:35.132,26/2/2022
"Channel2:26",18:14:35.132,26/2/2022
"Channel1:25",18:14:35.132,26/2/2022
"Channel2:25",18:14:35.132,26/2/2022
"Channel1:25",18:14:35.132,26/2/2022
"Channel2:26",18:14:35.132,26/2/2022
"Channel1:1023",18:14:35.132,26/2/2022
"Channel2:24",18:14:35.132,26/2/2022
"Channel1:1023",18:14:35.132,26/2/2022
"Channel2:30",18:14:35.132,26/2/2022
"Channel1:1023",18:14:35.132,26/2/2022
"Channel2:28",18:14:35.132,26/2/2022
"Channel1:1023",18:14:35.132,26/2/2022
"Channel2:31",18:14:35.132,26/2/2022
"Channel1:1023",18:14:35.132,26/2/2022
"Channel2:27",18:14:35.132,26/2/2022
"Channel1:26",18:14:35.132,26/2/2022
"Channel2:27",18:14:35.132,26/2/2022
"Channel1:25",18:14:35.132,26/2/2022
"Channel2:25",18:14:35.132,26/2/2022
"Channel1:25",18:14:35.132,26/2/2022
"Channel2:27",18:14:35.132,26/2/2022
"Channel1:22",18:14:35.132,26/2/2022
"Channel2:26",18:14:35.132,26/2/2022
"Channel1:24",18:14:35.132,26/2/2022
"Channel2:26",18:14:35.132,26/2/2022
"Channel1:1023",18:14:35.132,26/2/2022
"Channel2:29",18:14:35.132,26/2/2022
"Channel1:1023",18:14:35.132,26/2/2022
"Channel2:27",18:14:35.132,26/2/2022
"Channel1:1023",18:14:35.132,26/2/2022
"Channel2:28",18:14:35.132,26/2/2022
"Channel1:1023",18:14:35.132,26/2/2022
"Channel2:27",18:14:35.132,26/2/2022
"Channel1:1023",18:14:35.132,26/2/2022
"Channel2:26",18:14:35.132,26/2/2022
"Channel1:28",18:14:35.132,26/2/2022
"Channel2:27",18:14:35.132,26/2/2022
"Channel1:22",18:14:35.132,26/2/2022
"Channel2:27",18:14:35.132,26/2/2022
"Channel1:27",18:14:35.132,26/2/2022
"Channel2:24",18:14:35.132,26/2/2022
"Channel1:26",18:14:35.132,26/2/2022
"Channel2:25",18:14:35.132,26/2/2022
"Channel1:23",18:14:35.132,26/2/2022
"Channel2:26",18:14:35.132,26/2/2022
"Channel1:25",18:14:35.132,26/2/2022
"Channel2:29",18:14:35.132,26/2/2022
"Channel1:1023",18:14:35.132,26/2/2022
"Channel2:24",18:14:35.132,26/2/2022
"Channel1:1023",18:14:35.132,26/2/2022
"Channel2:28",18:14:35.132,26/2/2022
"Channel1:1023",18:14:35.132,26/2/2022
"Channel2:28",18:14:35.132,26/2/2022
"Channel1:1023",18:14:35.132,26/2/2022
"Channel2:27",18:14:35.132,26/2/2022
"Channel1:1023",18:14:35.149,26/2/2022
"Channel2:30",18:14:35.149,26/2/2022
"Channel1:26",18:14:35.149,26/2/2022
"Channel2:26",18:14:35.149,26/2/2022
"Channel1:25",18:14:35.149,26/2/2022
"Channel2:28",18:14:35.149,26/2/2022
"Channel1:26",18:14:35.149,26/2/2022
"Channel2:28",18:14:35.149,26/2/2022
"Channel1:26",18:14:35.149,26/2/2022
"Channel2:25",18:14:35.149,26/2/2022
"Channel1:23",18:14:35.149,26/2/2022
"Channel2:26",18:14:35.149,26/2/2022
"Channel1:1023",18:14:35.149,26/2/2022
"Channel2:27",18:14:35.149,26/2/2022
"Channel1:1023",18:14:35.149,26/2/2022
"Channel2:27",18:14:35.149,26/2/2022
"Channel1:1023",18:14:35.149,26/2/2022
"Channel2:28",18:14:35.149,26/2/2022
"Channel1:1023",18:14:35.149,26/2/2022
"Channel2:31",18:14:35.149,26/2/2022
"Channel1:1023",18:14:35.149,26/2/2022
"Channel2:29",18:14:35.149,26/2/2022
"Channel1:25",18:14:35.149,26/2/2022
"Channel2:26",18:14:35.149,26/2/2022
"Channel1:24",18:14:35.149,26/2/2022
"Channel2:29",18:14:35.149,26/2/2022
"Channel1:24",18:14:35.149,26/2/2022
"Channel2:26",18:14:35.149,26/2/2022
"Channel1:24",18:14:35.149,26/2/2022
"Channel2:28",18:14:35.149,26/2/2022
"Channel1:26",18:14:35.149,26/2/2022
"Channel2:25",18:14:35.149,26/2/2022
"Channel1:1023",18:14:35.149,26/2/2022
"Channel2:28",18:14:35.149,26/2/2022
"Channel1:1023",18:14:35.149,26/2/2022
"Channel2:28",18:14:35.149,26/2/2022
"Channel1:1023",18:14:35.149,26/2/2022
"Channel2:26",18:14:35.149,26/2/2022
"Channel1:1023",18:14:35.149,26/2/2022
"Channel2:31",18:14:35.149,26/2/2022
"Channel1:1023",18:14:35.149,26/2/2022
"Channel2:24",18:14:35.149,26/2/2022
"Channel1:26",18:14:35.149,26/2/2022
"Channel2:26",18:14:35.149,26/2/2022
"Channel1:25",18:14:35.149,26/2/2022
"Channel2:27",18:14:35.149,26/2/2022
"Channel1:25",18:14:35.149,26/2/2022
"Channel2:29",18:14:35.149,26/2/2022
"Channel1:23",18:14:35.149,26/2/2022
"Channel2:24",18:14:35.149,26/2/2022
"Channel1:24",18:14:35.149,26/2/2022
"Channel2:26",18:14:35.149,26/2/2022
"Channel1:1023",18:14:35.149,26/2/2022
"Channel2:30",18:14:35.149,26/2/2022
"Channel1:1023",18:14:35.149,26/2/2022
"Channel2:26",18:14:35.149,26/2/2022
"Channel1:1023",18:14:35.149,26/2/2022
"Channel2:28",18:14:35.149,26/2/2022
"Channel1:1023",18:14:35.149,26/2/2022
"Channel2:29",18:14:35.149,26/2/2022
"Channel1:1023",18:14:35.149,26/2/2022
"Channel2:30",18:14:35.149,26/2/2022
"Channel1:25",18:14:35.149,26/2/2022
"Channel2:27",18:14:35.149,26/2/2022
"Channel1:24",18:14:35.149,26/2/2022
"Channel2:27",18:14:35.149,26/2/2022
"Channel1:24",18:14:35.149,26/2/2022
"Channel2:28",18:14:35.149,26/2/2022
"Channel1:26",18:14:35.149,26/2/2022
"Channel2:27",18:14:35.149,26/2/2022
"Channel1:23",18:14:35.149,26/2/2022
"Channel2:29",18:14:35.149,26/2/2022
"Channel1:1023",18:14:35.149,26/2/2022
"Channel2:28",18:14:35.149,26/2/2022
"Channel1:1023",18:14:35.149,26/2/2022
"Channel2:28",18:14:35.149,26/2/2022
"Channel1:1023",18:14:35.149,26/2/2022
"Channel2:27",18:14:35.149,26/2/2022
"Channel1:1023",18:14:35.165,26/2/2022
"Channel2:27",18:14:35.165,26/2/2022
"Channel1:1023",18:14:35.165,26/2/2022
"Channel2:31",18:14:35.165,26/2/2022
"Channel1:25",18:14:35.165,26/2/2022
"Channel2:28",18:14:35.165,26/2/2022
"Channel1:26",18:14:35.165,26/2/2022
"Channel2:25",18:14:35.165,26/2/2022
"Channel1:26",18:14:35.165,26/2/2022
"Channel2:27",18:14:35.165,26/2/2022
"Channel1:26",18:14:35.165,26/2/2022
"Channel2:25",18:14:35.165,26/2/2022
"Channel1:25",18:14:35.165,26/2/2022
"Channel2:25",18:14:35.165,26/2/2022
"Channel1:1023",18:14:35.165,26/2/2022
"Channel2:30",18:14:35.165,26/2/2022
"Channel1:1023",18:14:35.165,26/2/2022
"Channel2:30",18:14:35.165,26/2/2022
"Channel1:1023",18:14:35.165,26/2/2022
"Channel2:29",18:14:35.165,26/2/2022
"Channel1:1023",18:14:35.165,26/2/2022
"Channel2:27",18:14:35.165,26/2/2022
"Channel1:1023",18:14:35.165,26/2/2022
"Channel2:28",18:14:35.165,26/2/2022
"Channel1:1023",18:14:35.165,26/2/2022
"Channel2:30",18:14:35.165,26/2/2022
"Channel1:24",18:14:35.165,26/2/2022
"Channel2:26",18:14:35.165,26/2/2022
"Channel1:23",18:14:35.165,26/2/2022
"Channel2:28",18:14:35.165,26/2/2022
"Channel1:23",18:14:35.165,26/2/2022
"Channel2:29",18:14:35.165,26/2/2022
"Channel1:25",18:14:35.165,26/2/2022
"Channel2:26",18:14:35.165,26/2/2022
"Channel1:26",18:14:35.165,26/2/2022
"Channel2:27",18:14:35.165,26/2/2022
"Channel1:1023",18:14:35.165,26/2/2022
"Channel2:27",18:14:35.165,26/2/2022
"Channel1:1023",18:14:35.165,26/2/2022
"Channel2:27",18:14:35.165,26/2/2022
"Channel1:1023",18:14:35.165,26/2/2022
"Channel2:27",18:14:35.165,26/2/2022
"Channel1:1023",18:14:35.165,26/2/2022
"Channel2:29",18:14:35.165,26/2/2022
"Channel1:1023",18:14:35.165,26/2/2022
"Channel2:27",18:14:35.165,26/2/2022
"Channel1:26",18:14:35.165,26/2/2022
"Channel2:26",18:14:35.165,26/2/2022
"Channel1:26",18:14:35.165,26/2/2022
"Channel2:28",18:14:35.165,26/2/2022
"Channel1:26",18:14:35.165,26/2/2022
"Channel2:27",18:14:35.165,26/2/2022
"Channel1:25",18:14:35.165,26/2/2022
"Channel2:25",18:14:35.165,26/2/2022
"Channel1:23",18:14:35.165,26/2/2022
"Channel2:26",18:14:35.165,26/2/2022
"Channel1:1023",18:14:35.165,26/2/2022
"Channel2:28",18:14:35.165,26/2/2022
"Channel1:1023",18:14:35.165,26/2/2022
"Channel2:31",18:14:35.165,26/2/2022
"Channel1:1023",18:14:35.165,26/2/2022
"Channel2:27",18:14:35.165,26/2/2022
"Channel1:1023",18:14:35.165,26/2/2022
"Channel2:27",18:14:35.165,26/2/2022
"Channel1:1023",18:14:35.165,26/2/2022
"Channel2:26",18:14:35.165,26/2/2022
"Channel1:25",18:14:35.165,26/2/2022
"Channel2:28",18:14:35.165,26/2/2022
"Channel1:24",18:14:35.165,26/2/2022
"Channel2:27",18:14:35.165,26/2/2022
"Channel1:25",18:14:35.165,26/2/2022
"Channel2:26",18:14:35.165,26/2/2022
"Channel1:27",18:14:35.182,26/2/2022
"Channel2:28",18:14:35.182,26/2/2022
"Channel1:28",18:14:35.182,26/2/2022
"Channel2:27",18:14:35.182,26/2/2022
"Channel1:1023",18:14:35.182,26/2/2022
"Channel2:27",18:14:35.182,26/2/2022
"Channel1:1023",18:14:35.182,26/2/2022
"Channel2:28",18:14:35.182,26/2/2022
"Channel1:1023",18:14:35.182,26/2/2022
"Channel2:26",18:14:35.182,26/2/2022
"Channel1:1023",18:14:35.182,26/2/2022
"Channel2:29",18:14:35.182,26/2/2022
"Channel1:1023",18:14:35.182,26/2/2022
"Channel2:26",18:14:35.182,26/2/2022
"Channel1:28",18:14:35.182,26/2/2022
"Channel2:27",18:14:35.182,26/2/2022
"Channel1:26",18:14:35.182,26/2/2022
"Channel2:26",18:14:35.182,26/2/2022
"Channel1:26",18:14:35.182,26/2/2022
"Channel2:26",18:14:35.182,26/2/2022
"Channel1:26",18:14:35.182,26/2/2022
"Channel2:27",18:14:35.182,26/2/2022
"Channel1:24",18:14:35.182,26/2/2022
"Channel2:25",18:14:35.182,26/2/2022
"Channel1:1023",18:14:35.182,26/2/2022
"Channel2:27",18:14:35.182,26/2/2022
"Channel1:1023",18:14:35.182,26/2/2022
"Channel2:29",18:14:35.182,26/2/2022
"Channel1:1023",18:14:35.182,26/2/2022
"Channel2:29",18:14:35.182,26/2/2022
"Channel1:1023",18:14:35.182,26/2/2022
"Channel2:28",18:14:35.182,26/2/2022
"Channel1:1023",18:14:35.182,26/2/2022
"Channel2:29",18:14:35.182,26/2/2022
"Channel1:27",18:14:35.182,26/2/2022
"Channel2:28",18:14:35.182,26/2/2022
"Channel1:23",18:14:35.182,26/2/2022
"Channel2:25",18:14:35.182,26/2/2022
"Channel1:25",18:14:35.182,26/2/2022
"Channel2:26",18:14:35.182,26/2/2022
"Channel1:26",18:14:35.182,26/2/2022
"Channel2:24",18:14:35.182,26/2/2022
"Channel1:26",18:14:35.182,26/2/2022
"Channel2:25",18:14:35.182,26/2/2022
"Channel1:1023",18:14:35.182,26/2/2022
"Channel2:30",18:14:35.182,26/2/2022
"Channel1:1023",18:14:35.182,26/2/2022
"Channel2:29",18:14:35.182,26/2/2022
"Channel1:1023",18:14:35.182,26/2/2022
"Channel2:26",18:14:35.182,26/2/2022
"Channel1:1023",18:14:35.182,26/2/2022
"Channel2:28",18:14:35.182,26/2/2022
"Channel1:1023",18:14:35.182,26/2/2022
"Channel2:29",18:14:35.182,26/2/2022
"Channel1:25",18:14:35.182,26/2/2022
"Channel2:27",18:14:35.182,26/2/2022
"Channel1:24",18:14:35.182,26/2/2022
"Channel2:30",18:14:35.182,26/2/2022
"Channel1:24",18:14:35.182,26/2/2022
"Channel2:28",18:14:35.182,26/2/2022
"Channel1:25",18:14:35.182,26/2/2022
"Channel2:29",18:14:35.182,26/2/2022
"Channel1:23",18:14:35.182,26/2/2022
"Channel2:26",18:14:35.182,26/2/2022
"Channel1:26",18:14:35.182,26/2/2022
"Channel2:28",18:14:35.182,26/2/2022
"Channel1:1023",18:14:35.182,26/2/2022
"Channel2:27",18:14:35.182,26/2/2022
"Channel1:1023",18:14:35.182,26/2/2022
"Channel2:28",18:14:35.182,26/2/2022
"Channel1:1023",18:14:35.182,26/2/2022
"Channel2:29",18:14:35.182,26/2/2022
"Channel1:1023",18:14:35.182,26/2/2022
"Channel2:30",18:14:35.182,26/2/2022
"Channel1:1023",18:14:35.182,26/2/2022
"Channel2:28",18:14:35.182,26/2/2022
"Channel1:26",18:14:35.182,26/2/2022
"Channel2:26",18:14:35.182,26/2/2022
"Channel1:27",18:14:35.200,26/2/2022
"Channel2:26",18:14:35.200,26/2/2022
"Channel1:26",18:14:35.200,26/2/2022
"Channel2:28",18:14:35.200,26/2/2022
"Channel1:26",18:14:35.200,26/2/2022
"Channel2:25",18:14:35.200,26/2/2022
"Channel1:26",18:14:35.200,26/2/2022
"Channel2:25",18:14:35.200,26/2/2022
"Channel1:1023",18:14:35.200,26/2/2022
"Channel2:26",18:14:35.200,26/2/2022
"Channel1:1023",18:14:35.200,26/2/2022
"Channel2:28",18:14:35.200,26/2/2022
"Channel1:1023",18:14:35.200,26/2/2022
"Channel2:26",18:14:35.200,26/2/2022
"Channel1:1023",18:14:35.200,26/2/2022
